Subject,Predicate,Object
biotically interacts with,subpropertyof,ecologically related to
"causally upstream of, positive effect",subpropertyof,"causally upstream of or within, positive effect"
"causally upstream of, negative effect",subpropertyof,"causally upstream of or within, negative effect"
characteristic of part of,subpropertyof,depends on
towards,subpropertyof,depends on
contributes to,subpropertyof,part of structure that is capable of
involved in,subpropertyof,participates in
input of,subpropertyof,participates in
output of,subpropertyof,participates in
involved in,subpropertyof,involved in or involved in regulation of
involved in regulation of,subpropertyof,involved in or involved in regulation of
regulated by,subpropertyof,causally downstream of or within
causally downstream of,subpropertyof,causally downstream of or within
negatively regulated by,subpropertyof,regulated by
positively regulated by,subpropertyof,regulated by
formed as result of,subpropertyof,output of
attached to,subpropertyof,attached to part of
tributary of,subpropertyof,in branching relationship with
distributary of,subpropertyof,in branching relationship with
causally upstream of,subpropertyof,causally upstream of or within
"causally upstream of or within, negative effect",subpropertyof,causally upstream of or within
"causally upstream of or within, positive effect",subpropertyof,causally upstream of or within
causally upstream of or within,subpropertyof,causal relation between processes
causally downstream of or within,subpropertyof,causal relation between processes
involved in regulation of,subpropertyof,acts upstream of
involved in positive regulation of,subpropertyof,involved in regulation of
involved in negative regulation of,subpropertyof,involved in regulation of
biotically interacts with,subpropertyof,interacts with
acquires nutrients from,subpropertyof,biotically interacts with
provides nutrients for,subpropertyof,biotically interacts with
immediate transformation of,subpropertyof,directly develops from
immediate transformation of,subpropertyof,transformation of
causal agent in process,subpropertyof,causal relation between material entity and a process
has part structure that is capable of,subpropertyof,causal relation between material entity and a process
causal relation between processes,subpropertyof,causally related to
causal relation between entities,subpropertyof,causally related to
causal relation between material entity and a process,subpropertyof,causally related to
process has causal agent,subpropertyof,causally related to
realized in response to stimulus,subpropertyof,causally related to
realized in response to,subpropertyof,causally related to
determined by,subpropertyof,determined by part of
determined by,subpropertyof,causally influenced by
determines,subpropertyof,causally influences
determined by part of,subpropertyof,causal relation between entities
causally influenced by,subpropertyof,causal relation between entities
causally influences,subpropertyof,causal relation between entities
capable of negatively regulating,subpropertyof,capable of regulating
capable of positively regulating,subpropertyof,capable of regulating
root,has_obo_namespace,ncbi_taxonomy
cellular organisms,has_obo_namespace,ncbi_taxonomy
eukaryota,has_obo_namespace,ncbi_taxonomy
opisthokonta,has_obo_namespace,ncbi_taxonomy
fungi,has_obo_namespace,ncbi_taxonomy
whole plant,has_obo_namespace,plant_anatomy
plant cuticle,has_obo_namespace,plant_anatomy
shoot axis apex,has_obo_namespace,plant_anatomy
shoot axis epidermis,has_obo_namespace,plant_anatomy
peripheral zone,has_obo_namespace,plant_anatomy
meristematic cell,has_obo_namespace,plant_anatomy
root primordium,has_obo_namespace,plant_anatomy
plant epidermis,has_obo_namespace,plant_anatomy
phyllome,has_obo_namespace,plant_anatomy
leaf epidermis,has_obo_namespace,plant_anatomy
shoot system epidermis,has_obo_namespace,plant_anatomy
root epidermis,has_obo_namespace,plant_anatomy
shoot system meristem,has_obo_namespace,plant_anatomy
protoderm,has_obo_namespace,plant_anatomy
plant cell,has_obo_namespace,plant_anatomy
root,has_obo_namespace,plant_anatomy
shoot system,has_obo_namespace,plant_anatomy
portion of plant tissue,has_obo_namespace,plant_anatomy
plant organ,has_obo_namespace,plant_anatomy
plant structure,has_obo_namespace,plant_anatomy
portion of meristem tissue,has_obo_namespace,plant_anatomy
meristem l1 layer,has_obo_namespace,plant_anatomy
apical meristem,has_obo_namespace,plant_anatomy
shoot apical meristem,has_obo_namespace,plant_anatomy
plant axis,has_obo_namespace,plant_anatomy
collective plant organ structure,has_obo_namespace,plant_anatomy
root system,has_obo_namespace,plant_anatomy
shoot axis,has_obo_namespace,plant_anatomy
leaf,has_obo_namespace,plant_anatomy
primordium,has_obo_namespace,plant_anatomy
phyllome primordium,has_obo_namespace,plant_anatomy
plant anatomical entity,has_obo_namespace,plant_anatomy
phyllome epidermis,has_obo_namespace,plant_anatomy
portion of plant substance,has_obo_namespace,plant_anatomy
cutin,has_obo_namespace,plant_anatomy
cuticular wax,has_obo_namespace,plant_anatomy
plant cuticle proper,has_obo_namespace,plant_anatomy
phyllome anlagen,has_obo_namespace,plant_anatomy
root anlagen,has_obo_namespace,plant_anatomy
multi-tissue plant structure,has_obo_namespace,plant_anatomy
collective plant structure,has_obo_namespace,plant_anatomy
plant sap,has_obo_namespace,plant_anatomy
plant resin,has_obo_namespace,plant_anatomy
native plant cell,has_obo_namespace,plant_anatomy
whole plant development stage,has_obo_namespace,plant_structure_development_stage
plant structure development stage,has_obo_namespace,plant_structure_development_stage
life of whole plant stage,has_obo_namespace,plant_structure_development_stage
sporophyte development stage,has_obo_namespace,plant_structure_development_stage
part of,in_subset,valid_for_go_annotation_extension
has part,in_subset,valid_for_go_annotation_extension
occurs in,in_subset,valid_for_go_annotation_extension
happens during,in_subset,valid_for_go_annotation_extension
overlaps,in_subset,valid_for_go_annotation_extension
regulates,in_subset,valid_for_go_annotation_extension
negatively regulates,in_subset,valid_for_go_annotation_extension
positively regulates,in_subset,valid_for_go_annotation_extension
adjacent to,in_subset,valid_for_go_annotation_extension
has input,in_subset,valid_for_go_annotation_extension
